Year,% Deer Hunted,% Predators Killed
1905,0,0
1906,0,0
1907,0,0.0749
1908,0,0.0749
1909,0,0.0749
1910,0,0.0749
1911,0,0.0749
1912,0,0.0749
1913,0,0.0749
1914,0,0.0749
1915,0,0.0749
1916,0,0.0749
1917,0,0.0749
1918,0,0.0749
1919,0,0.0749
1920,0,0.0749
1921,0,0.0749
1922,0,0.0749
1923,0,0.0749
1924,0.00675,0.0182
1925,0.00675,0.0182
1926,0.00675,0.0182
1927,0.00675,0.0182
1928,0.00675,0.0182
1929,0.00675,0.0182
1930,0.00675,0.0182
1931,0.00675,0.0182
1932,0.00675,0.0182
1933,0.00675,0.0182
1934,0.00675,0.0182
1935,0.00675,0.0182
1936,0.00675,0.0182
1937,0.00675,0.0182
1938,0.00675,0.0182
1939,0.00675,0.0182
