trial,score,best_so_far,peak_timing,best_peak_timing,peak_height,best_peak_height,crash_ratio,best_crash_ratio
0,3.961801377540086,3.961801377540086,10,10,0.2508974600067259,0.2508974600067259,0.6212898749527407,0.6212898749527407
1,1.331082426732842,1.331082426732842,12,12,0.37193974692133763,0.37193974692133763,0.8377819673022958,0.8377819673022958
2,2.2613424696026256,1.331082426732842,16,12,0.23288607500664496,0.37193974692133763,0.09999999999999953,0.8377819673022958
3,1.7330459000960179,1.331082426732842,18,12,0.5298520199957388,0.37193974692133763,0.09999999987153196,0.8377819673022958
4,3.8323671939558115,1.331082426732842,15,12,0.4476360314811266,0.37193974692133763,0.09999999999306279,0.8377819673022958
5,1.5328978465957201,1.331082426732842,14,12,0.3438151515393614,0.37193974692133763,0.07147160333079904,0.8377819673022958
6,1.026012047992153,1.026012047992153,1,1,0.21009983798601695,0.21009983798601695,0.043356527137586365,0.043356527137586365
7,31.172210861537362,1.026012047992153,2,1,3.2965060201249434,0.21009983798601695,0.17294749747616114,0.043356527137586365
8,15.081718216700706,1.026012047992153,12,1,0.892324806301996,0.21009983798601695,0.6144527538404163,0.043356527137586365
9,0.8053794430911402,0.8053794430911402,19,19,0.7055088791809423,0.7055088791809423,0.3768546974790413,0.3768546974790413
10,1.8282085078678085,0.8053794430911402,14,19,0.5252151558834045,0.7055088791809423,0.09999999999999012,0.3768546974790413
11,2.571338552836478,0.8053794430911402,16,19,0.07020734879469645,0.7055088791809423,0.09999999999951367,0.3768546974790413
12,3.1745195532495893,0.8053794430911402,10,19,0.2603610157059516,0.7055088791809423,0.04582020177559895,0.3768546974790413
13,134.4828283138704,0.8053794430911402,5,19,3.6410772191967267,0.7055088791809423,0.8563537708083032,0.3768546974790413
14,1.869260266751349,0.8053794430911402,18,19,0.37280748828144106,0.7055088791809423,0.09999999999999999,0.3768546974790413
15,2.2322421819605225,0.8053794430911402,15,19,0.26620471701653237,0.7055088791809423,0.09999999999999698,0.3768546974790413
16,1.0708541627177532,0.8053794430911402,3,19,0.312387959829591,0.7055088791809423,0.057876147945994605,0.3768546974790413
17,10.221682159864738,0.8053794430911402,8,19,0.4585650232220281,0.7055088791809423,0.8308653400948754,0.3768546974790413
18,8.325560086668041,0.8053794430911402,0,19,1.3478891608624282,0.7055088791809423,0.2608600047497589,0.3768546974790413
19,2.430318165554473,0.8053794430911402,16,19,0.12178174066670472,0.7055088791809423,0.09999999999999974,0.3768546974790413
20,0.24715045367028232,0.24715045367028232,0,0,0.08273827537722725,0.08273827537722725,0.07468729464726963,0.07468729464726963
21,1.453823478873259,0.24715045367028232,18,0,0.6010167559527996,0.08273827537722725,0.0506922821996009,0.07468729464726963
22,4.183382321231466,0.24715045367028232,16,0,0.7017582434433058,0.08273827537722725,0.09999999998475508,0.07468729464726963
23,1.7496025650232536,0.24715045367028232,18,0,0.6231938180309855,0.08273827537722725,0.0999999999853186,0.07468729464726963
24,71.19138006739472,0.24715045367028232,15,0,2.5277820532143815,0.08273827537722725,0.9,0.07468729464726963
25,2.81704075054279,0.24715045367028232,15,0,0.040752771953513005,0.08273827537722725,0.09999999920586748,0.07468729464726963
26,2.4204131474886488,0.24715045367028232,14,0,0.13382354035802696,0.08273827537722725,0.8999819185767812,0.07468729464726963
27,8.391330854366794,0.24715045367028232,2,0,0.6009920493490287,0.08273827537722725,0.7992160325665444,0.07468729464726963
28,1.8277461744936772,0.24715045367028232,18,0,0.4339073880539321,0.08273827537722725,0.1,0.07468729464726963
29,27.536606923289494,0.24715045367028232,9,0,1.2197505078221857,0.08273827537722725,0.882713653902559,0.07468729464726963
30,5.0217976800768716,0.24715045367028232,15,0,0.26829779760871286,0.08273827537722725,0.4339896430274973,0.07468729464726963
31,1.488335907968426,0.24715045367028232,19,0,0.637316968955498,0.08273827537722725,0.06365685336022109,0.07468729464726963
