trial,score,deer.birth,deer.surv,metric.crash_ratio,metric.peak_height,metric.peak_timing,predation.predAtk,predation.predCap,predation.predEff,predators.mort,vegetation.browse,vegetation.capMax,vegetation.vegRate
0,3.961801377540086,0.7008896643339404,0.8535061827987259,0.6212898749527407,0.2508974600067259,10,0.0033836590873708456,0.8083526325491186,0.0009150413846626908,0.2283032552520771,0.16501759102147154,88003.44167125341,0.3872618110901514
1,1.331082426732842,0.5238823727154772,0.5954420723295912,0.8377819673022958,0.37193974692133763,12,0.003249597246678727,0.5132002585127342,0.0022433841893049326,0.3069548714216771,0.30321317286201743,149964.15193715307,0.027580359468461504
2,2.2613424696026256,1.1283254554894042,0.6633202479286361,0.09999999999999953,0.23288607500664496,16,0.0007778197593090019,0.8636311113757641,0.0033991157238706365,0.07359054638866952,0.4834915510996847,82079.60309697952,0.4875639694399177
3,1.7330459000960179,1.226415445946942,0.8502712576130326,0.09999999987153196,0.5298520199957388,18,0.0026813723432277765,0.877148399382465,0.0038164170532231177,0.28945909669841663,0.3622356188201346,351198.19723118714,0.06706266233174377
4,3.8323671939558115,1.0196169307310858,0.8381944813831632,0.09999999999306279,0.4476360314811266,15,0.00022959900608648327,0.24371353430381482,0.0029294102378409665,0.06750222915410492,0.5170241401864664,277926.32075655874,0.499348751909267
5,1.5328978465957201,1.0721159998379601,0.6751194459056404,0.07147160333079904,0.3438151515393614,14,0.001851219745100855,0.22808097615576456,0.002706429329388678,0.47022765622487217,0.16678416186605527,112320.45741111331,0.1473466229530078
6,1.026012047992153,1.1562141181553143,0.5784331970057256,0.043356527137586365,0.21009983798601695,1,0.0018975874810673603,0.891094848041106,0.006417997610548224,0.2917663795740837,0.10268318891885819,274921.9218134362,0.39234087729549016
7,31.172210861537362,0.706143264767694,0.5154081170739381,0.17294749747616114,3.2965060201249434,2,0.0015776075137713802,0.2775797445793473,0.0021492792936839487,0.47316756573747554,0.46559994692774687,349712.6144607391,0.41392240808402603
8,15.081718216700706,0.8560687109545978,0.9389828430754609,0.6144527538404163,0.892324806301996,12,0.0022945298370107008,0.2751481415233446,0.0025039437015551354,0.29384302305668086,0.39326319917692804,180696.92185551295,0.5270568996188746
9,0.8053794430911402,0.8594604546263576,0.605273964395496,0.3768546974790413,0.7055088791809423,19,0.004987689263672304,0.4830973496249948,0.0009545486511292493,0.052144696449625244,0.5386937301614861,267067.516871533,0.1650175490285318
10,1.8282085078678085,0.8799439701197156,0.5304932989529394,0.09999999999999012,0.5252151558834045,14,0.0019084056228894307,0.8967031732040823,0.005314687733736413,0.4864068374784005,0.4752476186177784,280782.7333449888,0.07469298690688889
11,2.571338552836478,1.113539332123917,0.7577457585962217,0.09999999999951367,0.07020734879469645,16,0.0013344925371677379,0.5948175287928369,0.0011599441272789706,0.23433966781447932,0.43243309161611676,83673.92702170229,0.5178600243183539
12,3.1745195532495893,0.7370501456759817,0.7402813342641432,0.04582020177559895,0.2603610157059516,10,0.0008936700767103918,0.8257336634430974,0.008711659769875832,0.17026905198085746,0.5255117642269164,385221.0968067456,0.2776969867342318
13,134.4828283138704,1.186259720067636,0.7589019344574204,0.8563537708083032,3.6410772191967267,5,0.0038932430799134762,0.5008006213659009,5.569036647303788e-05,0.18235334679219634,0.09170356112978088,274870.4676602151,0.386980201970943
14,1.869260266751349,1.2484989764250614,0.6476067801932774,0.09999999999999999,0.37280748828144106,18,0.0002900968698876907,0.7963081593234345,0.009472146980715041,0.07025712247190302,0.5272331266939105,377311.5572046775,0.021491278007641057
15,2.2322421819605225,1.189250986376289,0.5616279029598862,0.09999999999999698,0.26620471701653237,15,0.0023766742493046074,0.5173330544707023,0.0026873134579535884,0.44004352931007096,0.45636129915433893,102148.00590988275,0.29673437335680214
16,1.0708541627177532,1.1569379621809786,0.596552510427054,0.057876147945994605,0.312387959829591,3,0.0015589255983588246,0.8958769531617605,0.006516286673512562,0.2359070394398169,0.323577653267675,147775.42574146626,0.2596513847185233
17,10.221682159864738,0.8042770059327098,0.782388184859472,0.8308653400948754,0.4585650232220281,8,0.001150958605616587,0.23718477678382555,0.0007563812057898738,0.32661838991694647,0.1348184022189344,118721.34267784504,0.31536974621099845
18,8.325560086668041,0.5637716148997881,0.6142422244971177,0.2608600047497589,1.3478891608624282,0,0.003345054402592255,0.2321012862648728,0.0013665028948139986,0.46969169307291536,0.5157812401522479,369734.40416196093,0.1450756524485811
19,2.430318165554473,1.226747297989979,0.5913967588937012,0.09999999999999974,0.12178174066670472,16,0.0004851056057370023,0.4163935050454209,0.004264607299048212,0.24950159397723723,0.470771654574452,231254.72841977412,0.3469154250619178
20,0.24715045367028232,0.588576084036763,0.6932582154090889,0.07468729464726963,0.08273827537722725,0,0.0016968433756721186,0.7824216558998724,0.0025241305225068423,0.11939818696718141,0.5904991268195796,295476.65513385646,0.44015475118131187
21,1.453823478873259,0.7248258030938904,0.9431674876524861,0.0506922821996009,0.6010167559527996,18,0.0022159321598947583,0.782146739047556,0.005525736858875988,0.05377651487669418,0.16712708680016428,215002.12474700934,0.2746819932215478
22,4.183382321231466,1.3337302847073147,0.9073739525188667,0.09999999998475508,0.7017582434433058,16,0.0008319723974642681,0.46279495663311065,0.002176785627031858,0.21848893749824272,0.5813977543708507,347528.8272255846,0.5995766563635087
23,1.7496025650232536,0.7386827523549367,0.8763538889353133,0.0999999999853186,0.6231938180309855,18,0.002275314332512047,0.40955636309163845,0.009575310526553749,0.49784866406157546,0.5911853062678355,201271.39807261317,0.04459488598358557
