year,deer_mean,deer_p10,deer_p90,pred_mean,pred_p10,pred_p90
1905,54981.196678481196,52908.256715352094,57141.78186773437,176.8823705822167,176.24782318171822,177.5001537672439
1906,71355.2036230272,68108.30910240882,74417.2771754081,157.09826094961974,155.9990248050203,158.21884256427282
1907,77697.79291872578,74386.31708059758,81114.32083345632,128.1456995942345,126.7873128468352,129.57895921762747
1908,79059.63452053502,76004.452445569,82146.72774131426,104.65137056059277,103.17795787513388,106.23734777306073
1909,77928.24941539665,75283.95527883327,80693.92787121379,85.4866166735269,83.9864398189758,87.10733523401532
1910,75602.44345309923,73169.60824481667,78098.45759089736,69.81772941475488,68.33987851191826,71.42315323906841
1911,72763.91868306934,70023.22050014937,75422.46805235138,56.99711420918964,55.58328109122358,58.53101083817704
1912,69768.94045246847,66756.11542934718,73127.57550864453,46.50705505632097,45.1946952580189,47.94053479680461
1913,66800.39194209795,63096.01087217142,70859.18030562374,37.92723629607473,36.716118825038656,39.24863179516672
1914,63948.28577428066,59892.93025545268,68538.61261133617,30.91377521696625,29.81197814148007,32.11615224556054
1915,61252.88579811847,56696.68812705262,66608.419677383,25.18434495966507,24.191376279848956,26.26676513383863
1916,58727.99663800077,53624.982538186545,64349.6719095774,20.506877614686797,19.62226415853578,21.47220092047166
1917,56373.612038097024,50652.80840864698,62381.566415343186,16.690613353433793,15.904021902683635,17.528142529780418
1918,54182.80103163999,47974.27545678016,60529.47297011873,13.578836313380519,12.87642518255561,14.304652507236145
1919,52145.45098783821,45444.51956319649,58931.577475169004,11.04290632628132,10.428475198012137,11.674325186953572
1920,50250.28638756955,43139.75708485478,57368.01757852941,8.977327752870474,8.423167253698205,9.525669712060585
1921,48485.937956541304,40940.14154081562,55898.41508572934,7.295667227994735,6.808488707988696,7.7707722981909475
1922,46841.48790348607,38950.32526703948,54509.682286888004,5.927173984765939,5.5096330189677065,6.338975481769044
1923,45306.72662258106,37113.816352113565,53231.557089857895,4.813984303311839,4.457300337444879,5.170733496238819
1924,43566.43120783124,35158.351512905,51710.16172799135,4.1817650422189185,3.85617851875132,4.511449095438578
1925,42147.60682413986,33516.25294765003,50526.80524000303,3.6315296900879366,3.3321082962351207,3.9352239140068934
1926,40928.03986866246,32087.451336806487,49538.16807233398,3.152961487518578,2.87844016470767,3.4319187189490905
1927,39840.3679767134,30803.316215871208,48669.321212168485,2.7369179031743003,2.485914757198956,2.99150407663559
1928,38846.679076396336,29627.501672040446,47880.49815982381,2.3753565860177015,2.1465523541885054,2.6061271802408674
1929,37924.95359528306,28537.63624373978,47150.05755632017,2.061231939153948,1.8533360690138745,2.2700149366146283
1930,37061.818424217614,27519.296905959192,46465.74582245731,1.7883862929778913,1.5998720039603145,1.976838892186376
1931,36248.66571256202,26562.65483193421,45820.213089374905,1.5514459044732647,1.3808289588096132,1.721041681971026
1932,35479.56666511436,25660.600259886345,45208.70836754547,1.3457257033037218,1.1915785463924635,1.4981266862958025
1933,34750.14395226042,24807.686820845942,44612.87300505537,1.1671438582052667,1.028105481820238,1.303616834505847
1934,34056.95693917875,23999.530644426806,44045.031094273494,1.0121459916537843,0.8869284317636654,1.1350914037898
1935,33397.161975438496,23232.462629248614,43504.713875742505,0.8776383630969068,0.7657809622073162,0.9880193308235693
1936,32768.320818994835,22503.322358891764,42989.98539864351,0.7609291700664182,0.6611507753835738,0.8599100621169794
1937,32168.28934051249,21809.33190118065,42499.147842017584,0.659677096130758,0.5707575382712576,0.7483344407500241
1938,31595.150157183263,21148.015206542277,42030.68105591378,0.5718462787367422,0.49267442553393037,0.6510678802222025
1939,31047.169660224445,20517.14400126862,41583.206056279516,0.4956669387992996,0.4252567643678827,0.5664774797430753
